agpID,latin_text
AGP-EDR153849,Ursi me comedant
AGP-EDR153358,POLY
AGP-EDR140174,Vasa
AGP-EDR156999,"Hic situs
Suellius"
AGP-EDR140168,Felices
AGP-EDR140055,IIIIIIIIIIIIIIIIIIIIIIIIIIIIII
AGP-EDR140177,"Assis IIIIHIINII
CCCXXX"
AGP-EDR140124,Quis d
AGP-EDR153483,VS SVMM
AGP-EDR153486,CA
AGP-EDR151835,Est res INCOSID
AGP-EDR140251,XXXIXXVVV
AGP-EDR140979,VMVCOSV
AGP-EDR154372,Caetronius
AGP-EDR153851,Ultas
AGP-EDR154592,ABCD
AGP-EDR154047,Cunei
AGP-EDR152963,XX IIIIIIIII
AGP-EDR140139,Salvia Superba
AGP-EDR140193,XVII
AGP-EDR154537,PAPAVLIN
AGP-EDR151867,"Vinum acceptum
ab domino VII Idus Apriles"
AGP-EDR140250,IIIIIII
AGP-EDR153800,S IIIII
AGP-EDR154444,"Omnes
XXXI"
AGP-EDR140050,Bucolus
AGP-EDR140185,VERIII
AGP-EDR140231,Augu
AGP-EDR140133,M
AGP-EDR140149,Algemus
AGP-EDR153487,"Venimus,
venimus
hoc cupidi,
multo magis ire cupimus."
AGP-EDR140246,I
AGP-EDR140252,IIIIIIIIIIIIIIIIII
AGP-EDR140052,Soli
AGP-EDR140217,ovas EVCL E VA M X P vectat
AGP-EDR140125,Quid
AGP-EDR140235,IIII
AGP-EDR153151,Albinus
AGP-EDR154423,S IIIIIIIIIIII XX
AGP-EDR153484,HIMME
AGP-EDR140060,NO
AGP-EDR154571,TVS lusor
AGP-EDR154373,Urso
AGP-EDR140220,Alica
AGP-EDR152999,Quartu
AGP-EDR140170,IANV
AGP-EDR140210,IIIIIIIIIII
AGP-EDR151829,Myrine mari
AGP-EDR140237,Vibidi
AGP-EDR140208,Mercurius
AGP-EDR140203,XXVIIII
AGP-EDR153356,Vidimus
AGP-EDR151801,Mus
AGP-EDR153615,LXXII
AGP-EDR153357,CAI
AGP-EDR154431,Modesti
AGP-EDR159776,AXBVCD
AGP-EDR159773,Debere
AGP-EDR140040,C C ego
AGP-EDR151895,IVIIRIIHIIRI
AGP-EDR140189,SAB
